feedback_id,property_id,feedback,action_taken,created_at
F0001,P0067,Ground-floor units should be discounted.,Comparable Removed,2025-12-04
F0002,P0049,Flood-prone properties should receive a discount.,Updated Similarity,2026-04-02
F0003,P0029,School quality should have higher weight.,Comparable Removed,2026-06-17
F0004,P0021,Ground-floor units should be discounted.,Updated Similarity,2026-05-11
F0005,P0082,Amenities like pool are over-valued in this locality.,Manual Override,2025-07-11
F0006,P0086,Vacancy trend suggests rent is too high.,Updated Similarity,2025-07-13
F0007,P0044,Metro proximity is underweighted in the model.,Updated Pricing,2026-05-25
F0008,P0066,School quality should have higher weight.,Comparable Removed,2026-05-05
F0009,P0041,School quality should have higher weight.,Updated Similarity,2026-02-13
F0010,P0045,Amenities like pool are over-valued in this locality.,Comparable Removed,2026-06-14
F0011,P0061,Flood-prone properties should receive a discount.,Updated Pricing,2025-10-30
F0012,P0034,Flood-prone properties should receive a discount.,Comparable Removed,2026-04-26
F0013,P0087,Amenities like pool are over-valued in this locality.,Comparable Removed,2026-06-09
F0014,P0089,Vacancy trend suggests rent is too high.,Updated Similarity,2025-07-01
F0015,P0081,Recent lease shows a 10% jump — factor this in.,Updated Pricing,2025-11-02
F0016,P0062,Recent lease shows a 10% jump — factor this in.,Updated Similarity,2026-03-04
F0017,P0095,Ignore highway-facing apartments.,Updated Similarity,2025-08-20
F0018,P0002,Flood-prone properties should receive a discount.,Comparable Removed,2026-04-12
F0019,P0097,Furnishing status not correctly reflected.,Updated Similarity,2025-09-08
F0020,P0073,Flood-prone properties should receive a discount.,Manual Override,2025-12-31
F0021,P0047,Vacancy trend suggests rent is too high.,Comparable Removed,2026-05-05
F0022,P0078,Ignore highway-facing apartments.,Manual Override,2026-03-09
F0023,P0087,Furnishing status not correctly reflected.,Manual Override,2026-06-07
F0024,P0019,Remove this comparable due to recent renovation.,Comparable Removed,2026-04-30
F0025,P0084,Metro proximity is underweighted in the model.,Comparable Removed,2025-08-18
F0026,P0010,Ignore highway-facing apartments.,Manual Override,2026-02-12
F0027,P0023,Ground-floor units should be discounted.,Updated Pricing,2026-02-11
F0028,P0036,Recent lease shows a 10% jump — factor this in.,Updated Similarity,2026-05-31
F0029,P0066,Furnishing status not correctly reflected.,Updated Similarity,2026-05-29
F0030,P0063,School quality should have higher weight.,Updated Similarity,2025-09-25
F0031,P0039,Amenities like pool are over-valued in this locality.,Manual Override,2025-10-23
F0032,P0071,Recent lease shows a 10% jump — factor this in.,Comparable Removed,2026-01-28
F0033,P0033,Remove this comparable due to recent renovation.,Updated Pricing,2026-01-20
F0034,P0017,School quality should have higher weight.,Manual Override,2025-07-30
F0035,P0084,Vacancy trend suggests rent is too high.,Manual Override,2025-12-11
F0036,P0036,Furnishing status not correctly reflected.,Updated Pricing,2026-05-19
F0037,P0096,Ground-floor units should be discounted.,Updated Similarity,2026-02-09
F0038,P0005,Flood-prone properties should receive a discount.,Manual Override,2026-02-27
F0039,P0065,Metro proximity is underweighted in the model.,Manual Override,2026-05-25
F0040,P0018,Recent lease shows a 10% jump — factor this in.,Updated Similarity,2025-07-12
F0041,P0030,Furnishing status not correctly reflected.,Updated Similarity,2026-04-25
F0042,P0015,Vacancy trend suggests rent is too high.,Updated Similarity,2025-10-04
F0043,P0019,Ignore highway-facing apartments.,Comparable Removed,2025-10-20
F0044,P0082,Amenities like pool are over-valued in this locality.,Manual Override,2025-12-06
F0045,P0081,Ground-floor units should be discounted.,Manual Override,2025-09-10
F0046,P0029,Remove this comparable due to recent renovation.,Updated Pricing,2026-03-11
F0047,P0043,Metro proximity is underweighted in the model.,Comparable Removed,2026-06-29
F0048,P0090,Flood-prone properties should receive a discount.,Updated Pricing,2025-09-30
F0049,P0025,Ground-floor units should be discounted.,Comparable Removed,2026-04-07
F0050,P0016,School quality should have higher weight.,Manual Override,2026-05-23
